selection_rank	first_public_panel_n	genbank_assembly_accession	biosample_accession	ncbi_organism_name	ncbi_organism_taxid	bacselect_species_name	bacselect_species_taxid	assembly_name	submitter	assembly_release_date	panel_identity	selector	selector_version	architecture_schema_version	source_snapshot_sha256	taxonomy_snapshot_sha256	execution_git_commit	ncbi_assembly_url
12	20	GCA_004296475.1	SAMD00080336	endosymbiont of Sipalinus gigas	1972134	endosymbiont of Sipalinus gigas	1972134	ASM429647v1	The Open University of Japan	2017-10-21	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_004296475.1/
13	20	GCA_008274905.1	SAMN09370087	Bacillus sp. JAS24-2	2217832	Bacillus sp. JAS24-2	2217832	ASM827490v1	University of Bialystok	2019-09-05	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_008274905.1/
14	20	GCA_044865155.1	SAMN44600985	Azospirillum doebereinerae	92933	Azospirillum doebereinerae	92933	ASM4486515v1	Winogradsky Institute of Microbiology	2024-11-13	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_044865155.1/
15	20	GCA_017797885.1	SAMN18395631	Brucella sp. 458	2821140	Brucella sp. 458	2821140	ASM1779788v1	Queensland Health Forensic and Scientific Services	2021-04-06	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_017797885.1/
16	20	GCA_045206375.1	SAMN30553104	Streptomyces sp. NBC_00499	2975761	Streptomyces sp. NBC_00499	2975761	ASM4520637v1	Technical University of Denmark	2024-01-24	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_045206375.1/
17	20	GCA_018336915.1	SAMN15662376	Acaryochloris marina S15	2762553	Acaryochloris marina	155978	ASM1833691v1	University of Montana	2021-05-11	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_018336915.1/
18	20	GCA_020149975.1	SAMN21211841	Bacillus sp. CRB-7	2874284	Bacillus sp. CRB-7	2874284	ASM2014997v1	Southwest Jiaotong University	2021-09-26	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_020149975.1/
19	20	GCA_030718845.1	SAMN36843426	Mycoplasma seminis	512749	Mycoplasma seminis	512749	ASM3071884v1	Institute of Microbiology	2023-08-14	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_030718845.1/
20	20	GCA_014784575.1	SAMN16177309	Ochrobactrum sp. MT180101	2726427	Ochrobactrum sp. MT180101	2726427	ASM1478457v1	Sun Yat-sen University	2020-09-29	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_014784575.1/
21	50	GCA_000013705.1	SAMN02598256	Methylobacillus flagellatus KT	265072	Methylobacillus flagellatus	405	ASM1370v1	DOE Joint Genome Institute	2006-04-10	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_000013705.1/
