selection_rank	first_public_panel_n	genbank_assembly_accession	biosample_accession	ncbi_organism_name	ncbi_organism_taxid	bacselect_species_name	bacselect_species_taxid	assembly_name	submitter	assembly_release_date	panel_identity	selector	selector_version	architecture_schema_version	source_snapshot_sha256	taxonomy_snapshot_sha256	execution_git_commit	ncbi_assembly_url
127	200	GCA_028532485.1	SAMN32952419	Iamia majanohamensis	467976	Iamia majanohamensis	467976	ASM2853248v1	The university of Hong Kong	2023-02-07	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_028532485.1/
128	200	GCA_044789135.1	SAMN14381049	Cobetia sp. UIB-001	2717697	Cobetia sp. UIB-001	2717697	ASM4478913v1	University of Balearic Islands	2024-11-12	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_044789135.1/
129	200	GCA_003293695.1	SAMN08935026	Solilutibacter oculi	2698682	Solilutibacter oculi	2698682	ASM329369v1	Institute of Microbiology Chinese Academy of Sciences	2018-07-09	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_003293695.1/
130	200	GCA_000767055.1	SAMN02356458	Corynebacterium doosanense CAU 212 = DSM 45436	558173	Corynebacterium doosanense	1121358	ASM76705v1	Bielefeld University	2014-10-16	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_000767055.1/
131	200	GCA_032842945.2	SAMN37789661	Roseovarius rhodophyticola	3080827	Roseovarius rhodophyticola	3080827	ASM3284294v2	Chung-Ang university	2024-04-01	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_032842945.2/
132	200	GCA_036511535.1	SAMD00639221	Indolivaga capnocytophagoides	45254	Indolivaga capnocytophagoides	45254	ASM3651153v1	Department of clinical laboratory medicine, Saitama medhical university	2023-09-07	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_036511535.1/
133	200	GCA_009730295.1	SAMN11056457	Gemella sanguinis	84135	Gemella sanguinis	84135	ASM973029v1	US Food and Drug Administration	2019-12-05	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_009730295.1/
134	200	GCA_028609845.1	SAMN13404530	Corynebacterium heidelbergense	2055947	Corynebacterium heidelbergense	2055947	ASM2860984v1	Bielefeld University	2023-02-13	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_028609845.1/
135	200	GCA_018141425.1	SAMN14689426	Vallitalea guaymasensis	1185412	Vallitalea guaymasensis	1185412	ASM1814142v1	Mediterranean Institute of Oceanography (MIO), UMR 7294	2021-04-27	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_018141425.1/
136	200	GCA_022788655.1	SAMN22145276	Sulfitobacter indolifex	225422	Sulfitobacter indolifex	225422	ASM2278865v1	Leibniz Institute DSMZ	2022-04-01	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_022788655.1/
137	200	GCA_002368455.1	SAMD00081178	Calothrix sp. NIES-4071	2005469	Calothrix sp. NIES-4071	2005469	ASM236845v1	Toyohashi University of Technology	2017-06-25	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_002368455.1/
138	200	GCA_033977085.1	SAMN35133167	Apirhabdus apintestini	3049091	Apirhabdus apintestini	3049091	ASM3397708v1	University of Guelph	2023-11-29	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_033977085.1/
139	200	GCA_001633145.1	SAMN04903812	Rhodovulum sulfidophilum	35806	Rhodovulum sulfidophilum	35806	ASM163314v1	Toyohashi University of Technology	2016-04-28	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_001633145.1/
140	200	GCA_000746585.2	SAMN02943453	Rickettsiales bacterium Ac37b	1528098	Rickettsiales bacterium Ac37b	1528098	ASM74658v2	University of Minnesota	2015-01-27	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_000746585.2/
141	200	GCA_000218895.1	SAMN02232050	Runella slithyformis DSM 19594	761193	Runella slithyformis	106	ASM21889v1	US DOE Joint Genome Institute (JGI-PGF)	2011-06-17	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_000218895.1/
142	200	GCA_044784365.2	SAMN44522929	Cetobacterium somerae ATCC BAA-474	1319815	Cetobacterium somerae	188913	UGA_Csom_2	University of Georgia	2024-11-12	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_044784365.2/
143	200	GCA_022827545.1	SAMN27067608	Hymenobacter tibetensis	497967	Hymenobacter tibetensis	497967	ASM2282754v1	National Institute of Agricultural Sciences	2022-04-06	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_022827545.1/
144	200	GCA_022220465.1	SAMN25258031	Streptomyces sp. TYQ1024	2762559	Streptomyces sp. TYQ1024	2762559	ASM2222046v1	Sichuan University	2022-02-14	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_022220465.1/
145	200	GCA_003325355.1	SAMN09536026	Runella rosea	2259595	Runella rosea	2259595	ASM332535v1	Korea University	2018-07-17	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_003325355.1/
146	200	GCA_003443635.1	SAMN09780818	Flavobacteriaceae bacterium	1871037	Flavobacteriaceae bacterium	1871037	ASM344363v1	University of New South Wales	2018-09-04	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_003443635.1/
147	200	GCA_009429145.1	SAMN13012137	Amycolatopsis sp. YIM 10	2653857	Amycolatopsis sp. YIM 10	2653857	ASM942914v1	Uni Bielefeld	2019-10-31	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_009429145.1/
148	200	GCA_000020365.1	SAMN02603282	Desulforapulum autotrophicum HRM2	177437	Desulforapulum autotrophicum	2296	ASM2036v1	Goettingen Genomics Laboratory	2009-02-18	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_000020365.1/
149	200	GCA_033127725.1	SAMD00453220	Bombiscardovia nodaiensis	2932181	Bombiscardovia nodaiensis	2932181	ASM3312772v1	NODAI Genome Research Center, Tokyo University of Agriculture	2023-06-13	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_033127725.1/
150	200	GCA_021049245.1	SAMN19600238	Radiobacillus kanasensis	2844358	Radiobacillus kanasensis	2844358	ASM2104924v1	Xinjiang Academy of Agricultural Science	2021-12-06	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_021049245.1/
151	200	GCA_051257795.1	SAMN49555883	Streptomyces sp. H49	3444117	Streptomyces sp. H49	3444117	ASM5125779v1	Qingdao University	2025-07-09	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_051257795.1/
152	200	GCA_001718555.1	SAMN03449247	Burkholderia metallica	488729	Burkholderia metallica	488729	ASM171855v1	Northern Arizona University	2016-09-02	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_001718555.1/
153	200	GCA_004792515.1	SAMN11283524	Vagococcus xieshaowenii	2562451	Vagococcus xieshaowenii	2562451	ASM479251v1	Chinese Center for Disease Control and Prevention	2019-04-14	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_004792515.1/
154	200	GCA_001685435.3	SAMN03571250	Salimicrobium jeotgali	1230341	Salimicrobium jeotgali	1230341	ASM168543v3	Chung-Ang university	2016-11-16	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_001685435.3/
155	200	GCA_019457435.1	SAMN20446321	Shewanella sp. FJAT-51649	2864210	Shewanella sp. FJAT-51649	2864210	ASM1945743v1	Fujian Academy of Agricultural Sciences	2021-08-06	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_019457435.1/
156	200	GCA_001693655.1	SAMN05390006	Ketogulonicigenium vulgare	92945	Ketogulonicigenium vulgare	92945	ASM169365v1	Tianjin University	2016-07-26	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_001693655.1/
157	200	GCA_005862185.2	SAMN11793187	Rhizobium hidalgonense	1538159	Rhizobium hidalgonense	1538159	ASM586218v2	National Centre for Cell Science	2020-06-08	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_005862185.2/
158	200	GCA_045039925.1	SAMN24016506	Streptomycetaceae bacterium NBC_01309	3115366	Streptomycetaceae bacterium NBC_01309	3115366	ASM4503992v1	Technical University of Denmark	2024-01-24	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_045039925.1/
159	200	GCA_001611975.1	SAMN04456661	Haematospirillum jordaniae	1549855	Haematospirillum jordaniae	1549855	ASM161197v1	CDC	2016-04-06	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_001611975.1/
160	200	GCA_030297135.1	SAMD00603154	Pseudoalteromonas apostichopi	3035452	Pseudoalteromonas apostichopi	3035452	ASM3029713v1	Laboratory of Microbiology, Division of Marine Life Science, Faculty of Fisheries Sciences, Hokkaido University	2023-05-12	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_030297135.1/
161	200	GCA_001902295.1	SAMN06094710	Clostridium kluyveri	1534	Clostridium kluyveri	1534	ASM190229v1	Anhui University	2016-12-13	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_001902295.1/
162	200	GCA_030142075.1	SAMN35250489	Arthrobacter sp. zg-Y20	2886938	Arthrobacter sp. zg-Y20	2886938	ASM3014207v1	Chinese Center for Disease Control and Prevention	2023-05-31	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_030142075.1/
163	200	GCA_016605905.1	SAMN16561804	Streptomyces sp. XC 2026	2782004	Streptomyces sp. XC 2026	2782004	ASM1660590v1	Jiangxi Normal University	2021-01-11	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_016605905.1/
164	200	GCA_027627435.1	SAMN32126822	Kitasatospora cathayae	3004092	Kitasatospora cathayae	3004092	ASM2762743v1	Hunan University of Arts and Science	2023-01-11	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_027627435.1/
165	200	GCA_046850195.1	SAMN35565956	Vibrio aestuarianus subsp. francensis	1443279	Vibrio aestuarianus	28171	Roslin_Vaest_1	The Roslin Institute, University of Edinburgh	2025-01-21	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_046850195.1/
166	200	GCA_007751035.1	SAMN10954030	Lignipirellula cremea	2528010	Lignipirellula cremea	2528010	ASM775103v1	Radboud Universiteit Nijmegen	2019-07-31	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_007751035.1/
167	200	GCA_003595605.1	SAMN08104862	[Bacillus] caldolyticus	1394	[Bacillus] caldolyticus	1394	ASM359560v1	NEB	2017-12-28	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_003595605.1/
168	200	GCA_003722295.1	SAMN10390430	Leptospira kmetyi	408139	Leptospira kmetyi	408139	ASM372229v1	Universiti Sains Malaysia	2018-11-13	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_003722295.1/
169	200	GCA_000284155.1	SAMN02603558	Rickettsia australis str. Cutlack	1105110	Rickettsia australis	787	ASM28415v1	Los Alamos National Laboratory	2012-03-01	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_000284155.1/
170	200	GCA_036227165.1	SAMN24016620	Streptomyces sp. NBC_01483	2903883	Streptomyces sp. NBC_01483	2903883	ASM3622716v1	Technical University of Denmark	2024-01-25	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_036227165.1/
171	200	GCA_021496925.1	SAMN14968994	Acidovorax sp. YS12	2738413	Acidovorax sp. YS12	2738413	ASM2149692v1	Central South University	2022-01-18	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_021496925.1/
172	200	GCA_025252405.1	SAMN30697779	Flavobacterium sp. TR2	2977321	Flavobacterium sp. TR2	2977321	ASM2525240v1	Hohai University	2022-09-19	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_025252405.1/
173	200	GCA_046245125.2	SAMN45040759	Bartonella heixiaziensis	1461000	Bartonella heixiaziensis	1461000	BhRE21v2	University of Salford	2024-12-22	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_046245125.2/
174	200	GCA_014334095.1	SAMN15817294	Novosphingopyxis iocasae	2762729	Novosphingopyxis iocasae	2762729	ASM1433409v1	Institute of Oceanology, Chinese academy of sciences	2020-08-30	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_014334095.1/
175	200	GCA_002310835.1	SAMN03380228	Pseudoalteromonas tetraodonis	43659	Pseudoalteromonas tetraodonis	43659	ASM231083v1	Shandong University	2017-09-18	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_002310835.1/
176	200	GCA_001983995.1	SAMN06075353	Halioglobus japonicus	930805	Halioglobus japonicus	930805	ASM198399v1	Atmosphere and Ocean Research Institute, The University of Tokyo	2017-02-03	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_001983995.1/
177	200	GCA_029227815.1	SAMN33344477	Clostridiaceae bacterium M8S5	3035240	Clostridiaceae bacterium M8S5	3035240	ASM2922781v1	Shanghai Ocean University	2023-03-16	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_029227815.1/
178	200	GCA_019226825.1	SAMN19522531	Vibrio ostreae	2841925	Vibrio ostreae	2841925	ASM1922682v1	Korea Research Institute of Bioscience and Biotechnology	2021-07-15	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_019226825.1/
179	200	GCA_003595545.1	SAMN07342914	Streptomyces sp. 11-1-2	1851167	Streptomyces sp. 11-1-2	1851167	ASM359554v1	Memorial University of Newfoundland	2017-08-02	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_003595545.1/
180	200	GCA_048005415.1	SAMN46144098	Proteus cibi	2050966	Proteus cibi	2050966	P._vulgaris_COFI-RLBCAU-III	College of Fisheries, RLBCAU	2025-02-25	selector-v1-reference	OPS	1.0.0	1	b1b016891ae4e976d03606dfb2f35f74b03d21cf3ec82832f77f4d113bd622d5	005d1b674bb12719c003652c867486f83a5c860b4beb1016adf17f3c56c2d844	3ebce24ac4d1c620e9dde8c84f0c92fea9cc9e01	https://www.ncbi.nlm.nih.gov/assembly/GCA_048005415.1/
